GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck,Engine,328,1049,46,94,80,263,46,73,10,39
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck,Engine.Mode,9,103,0,0,0,10,2,4,2,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck,AnalysisTask,52,57,0,4,8,16,0,6,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,NuspecAnalyzer,42,117,8,4,3,28,6,8,0,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractSuppressionAnalyzer,122,314,26,30,21,72,18,19,1,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,OpenSSLAnalyzer,10,192,4,10,3,31,4,13,0,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,PythonPackageAnalyzer,10,295,4,16,3,64,4,19,0,13
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyGemspecAnalyzer,73,241,14,8,17,48,11,11,1,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,NodePackageAnalyzer,56,205,13,13,7,46,11,11,0,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,DependencyMergingAnalyzer,191,72,45,11,37,17,29,10,1,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractFileTypeAnalyzer,6,59,1,7,1,20,1,9,0,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CMakeAnalyzer,11,283,2,8,4,71,2,13,0,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AssemblyAnalyzer,442,253,61,19,92,58,39,12,1,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,VulnerabilitySuppressionAnalyzer,0,12,0,0,0,5,0,5,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,ComposerLockAnalyzer,44,202,7,7,3,44,5,11,0,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AnalyzerService,5,90,0,12,2,26,0,11,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractAnalyzer,17,66,0,6,4,25,0,15,0,12
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CocoaPodsAnalyzer,14,223,8,12,3,51,8,12,0,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AnalysisPhase,5,123,0,0,0,12,1,3,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CPEAnalyzer,93,974,17,119,32,207,17,70,0,19
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AutoconfAnalyzer,14,278,8,26,3,57,7,21,0,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,VersionFilterAnalyzer,0,249,1,69,0,35,1,40,0,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,ArchiveAnalyzer,539,742,83,83,83,156,63,41,0,21
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,NexusAnalyzer,262,56,41,1,58,18,24,9,3,9
